event_id,queue_id,repair_class,url,status,body_hash,body_path,metadata_path,error
consensys-metamask-infura-rpc-data-collection-2022-11,59,repair_replayable_trigger_anchor,,no_existing_url_missing_anchor,,,,
dydx-tornado-account-block-2022-08,63,repair_replayable_trigger_anchor,,no_existing_url_missing_anchor,,,,
eba-virtual-currencies-opinion-eba-op-2014-08,64,repair_replayable_trigger_anchor,,no_existing_url_missing_anchor,,,,
ebullion-doj-fbi-seizure-2008-08,65,repair_replayable_trigger_anchor,,no_existing_url_missing_anchor,,,,
egold-doj-guilty-plea-2008-07,66,repair_replayable_trigger_anchor,https://legalupdate.e-gold.com/2008/07/plea-agreement-as-to-douglas-l-jackson-20080721.html,capture_failed,,,,"URLError [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'legalupdate.e-gold.com'. (_ssl.c:1081)"
egold-doj-guilty-plea-2008-07,66,repair_replayable_trigger_anchor,https://www.secretservice.gov/press/releases/2008/07/us-secret-service-led-investigation-digital-currency-business-e-gold-pleads,captured;patched_fields=2,sha256:7eae7c4475c89ed0a2521bc3d7fc7e3210a003ea44d18068880e45254fd54497,sources/http_captures/egold-doj-guilty-plea-2008-07/v0_3_repair/www.secretservice.gov__press-releases-2008-07-us-secret-service-led-investigation-digital-currency-business-e-gold-pleads__fe0ccf4941.html,sources/http_captures/egold-doj-guilty-plea-2008-07/v0_3_repair/www.secretservice.gov__press-releases-2008-07-us-secret-service-led-investigation-digital-currency-business-e-gold-pleads__fe0ccf4941.json,
etherscan-tornado-cash-ui-label-2022,68,repair_replayable_trigger_anchor,,no_existing_url_missing_anchor,,,,
eu-14th-russia-sanctions-spfs-2024,70,repair_replayable_trigger_anchor,,no_existing_url_missing_anchor,,,,
eu-15th-russia-sanctions-2024,71,repair_replayable_trigger_anchor,,no_existing_url_missing_anchor,,,,
eu-amla-anti-money-laundering-authority-regulation-2024,72,repair_replayable_trigger_anchor,,no_existing_url_missing_anchor,,,,
eu-amlr-eu-single-rulebook-2024,73,repair_replayable_trigger_anchor,https://eur-lex.europa.eu/eli/reg/2024/1624/oj/eng,captured;patched_fields=6,sha256:395cad79d5aefd3b5fd5e3c69d3da304ef235700ac46adcacc4f48315198322b,sources/http_captures/eu-amlr-eu-single-rulebook-2024/v0_3_repair/eur-lex.europa.eu__eli-reg-2024-1624-oj-eng__9feffed64b.html,sources/http_captures/eu-amlr-eu-single-rulebook-2024/v0_3_repair/eur-lex.europa.eu__eli-reg-2024-1624-oj-eng__9feffed64b.json,
eu-belarus-crypto-services-ban-2022,74,repair_replayable_trigger_anchor,,no_existing_url_missing_anchor,,,,
eu-dac8-crypto-asset-reporting-directive-2023,75,repair_replayable_trigger_anchor,https://taxation-customs.ec.europa.eu/taxation/tax-transparency-cooperation/administrative-co-operation-and-mutual-assistance/directive-administrative-cooperation-dac/dac8_en,captured;patched_fields=4,sha256:a208aa5fc193f0c7da597e32ee48fa73d1813b09732e915cd8076ed15a4aeb62,sources/http_captures/eu-dac8-crypto-asset-reporting-directive-2023/v0_3_repair/taxation-customs.ec.europa.eu__taxation-tax-transparency-cooperation-administrative-co-operation-and-mutual-assistance-directive-administrative-cooperation-dac-dac8_en__a80d919eb8.html,sources/http_captures/eu-dac8-crypto-asset-reporting-directive-2023/v0_3_repair/taxation-customs.ec.europa.eu__taxation-tax-transparency-cooperation-administrative-co-operation-and-mutual-assistance-directive-administrative-cooperation-dac-dac8_en__a80d919eb8.json,
fatf-grey-list-crypto-related-actions-2023-2024,80,repair_replayable_trigger_anchor,,no_existing_url_missing_anchor,,,,
fatf-targeted-update-va-vasp-2021,82,repair_replayable_trigger_anchor,,no_existing_url_missing_anchor,,,,
fatf-targeted-update-va-vasp-2023,83,repair_replayable_trigger_anchor,,no_existing_url_missing_anchor,,,,
fatf-virtual-currencies-key-definitions-2014,84,repair_replayable_trigger_anchor,,no_existing_url_missing_anchor,,,,
