event_id,research_stratum,empirical_shape,admission_tier,applicable_layer_count,coverage_denominator_layer_count,non_na_layer_count,changed_layer_count,coverage_matched_changed_layer_count,cascade_breadth,non_na_cascade_breadth,time_to_first_change_hours,time_to_last_change_hours,cascade_span_hours,direct_attribution_layer_count,plausible_attribution_layer_count,recovered_layer_count,unrecovered_layer_count,recovery_unknown_layer_count,recovery_rate,mean_resolved_hours,coverage_measured_count,coverage_partial_count,coverage_gap_count,primary_source_count,semi_primary_source_count,primary_onchain_source_count,changed_action_count,changed_unique_action_count,has_large_target_set,is_reversal_event,trigger_is_action,target_is_privacy_tool
sec-voorhees-satoshidice-2014,S3_doj_sec_cftc_fiod,comparison,empirical_case,2,2,2,2,2,1.0,1.0,0.0,0.0,0.0,1,1,0,0,2,0.0,,2,0,0,3,0,0,2,2,false,false,false,false
semenov-ofac-2023,S1_ofac_sdn,comparison,empirical_case,2,2,6,1,1,0.5,,24.27,2596.62,2572.35,1,0,0,0,1,0.0,,2,0,4,4,2,2,2,2,false,false,false,true
shrem-faiella-bitcoin-exchange-2014,S3_doj_sec_cftc_fiod,comparison,empirical_case,1,1,1,1,1,1.0,1.0,5280.0,5280.0,0.0,0,1,0,0,1,0.0,,1,0,0,2,0,0,1,1,false,false,false,false
sichuan-silence-ofac-2024,S1_ofac_sdn,null_event,null_case,1,1,2,0,0,0.0,,,,,0,0,0,0,0,,,1,0,1,1,0,0,0,0,false,false,false,false
silk-road-doj-seizure-2013,S3_doj_sec_cftc_fiod,comparison,empirical_case,1,1,1,1,1,1.0,1.0,0.0,0.0,0.0,1,0,0,0,1,0.0,,1,0,0,1,1,0,1,1,false,false,false,false
sinbad-ofac-2023,S1_ofac_sdn,null_event,null_case,1,1,3,0,0,0.0,,,,,0,0,0,0,0,,,1,0,2,0,2,0,0,0,false,false,false,false
singapore-mas-binance-services-2021,S4_nation_state,comparison,empirical_case,2,2,2,2,2,1.0,1.0,72.0,3648.0,3576.0,2,0,0,0,2,0.0,,0,2,0,2,0,0,2,2,false,false,false,false
storm-semenov-doj-2023,S3_doj_sec_cftc_fiod,null_event,null_case,1,1,1,0,0,0.0,0.0,,,,0,0,0,0,0,,,1,0,0,1,0,0,0,0,false,false,false,true
suex-ofac-2021,S1_ofac_sdn,comparison,empirical_case,2,2,4,1,1,0.5,,49.73,49.73,0.0,1,0,0,0,1,0.0,,2,0,2,3,2,1,1,1,false,false,false,false
teraexchange-cftc-bitcoin-swap-2015,S3_doj_sec_cftc_fiod,comparison,empirical_case,1,1,1,1,1,1.0,1.0,0.0,0.0,0.0,1,0,0,0,1,0.0,,0,1,0,2,0,0,1,1,false,false,false,false
tether-doj-pig-butchering-freeze-2023,S5_corporate,comparison,empirical_case,1,1,2,1,1,1.0,,0.0,0.0,0.0,1,0,0,0,1,0.0,,1,0,1,2,0,0,1,1,false,false,true,false
tether-dprk-precommit-freeze-2025,S5_corporate,comparison,empirical_case,1,1,1,1,1,1.0,1.0,0.0,0.0,0.0,1,0,0,0,1,0.0,,1,0,0,3,0,1,1,1,false,false,true,false
tether-retroactive-sweep-2023,S5_corporate,comparison,empirical_case,1,1,1,1,1,1.0,1.0,0.0,0.0,0.0,1,0,0,0,1,0.0,,1,0,0,4,0,1,1,1,false,false,true,false
tornado-cash-ofac-2022,S1_ofac_sdn,cascade,anchor_case,5,5,6,5,5,1.0,,2.85,922.5,919.65,3,2,0,1,4,0.0,,2,3,1,6,7,1,5,5,true,false,false,true
tornado-cash-ofac-delisting-2025,S2_ofac_removal,cascade,empirical_case,4,4,6,4,4,1.0,,0.0,283.47,283.47,2,2,1,1,2,0.25,,2,2,2,4,8,1,4,4,true,true,false,true
tornado-cash-ofac-redesignation-2022,S1_ofac_sdn,comparison,empirical_case,2,2,6,1,1,0.5,,9509.3,9509.3,0.0,1,0,0,0,1,0.0,,2,0,4,2,2,1,1,1,true,false,false,true
turkey-cbrt-crypto-ban-2021,S4_nation_state,comparison,empirical_case,1,1,1,1,1,1.0,1.0,336.0,336.0,0.0,1,0,0,0,1,0.0,,1,0,0,1,0,0,1,1,false,false,false,false
uk-fca-binance-markets-2021,S4_nation_state,comparison,empirical_case,2,2,2,2,2,1.0,1.0,24.0,216.0,192.0,1,1,0,0,2,0.0,,1,1,0,2,0,0,2,2,false,false,false,false
uniswap-frontend-delisting-2023,S5_corporate,comparison,empirical_case,1,1,1,1,1,1.0,1.0,0.0,0.0,0.0,1,0,0,0,1,0.0,,1,0,0,1,1,0,1,1,false,false,true,false
zservers-ofac-2025,S1_ofac_sdn,null_event,null_case,1,1,2,0,0,0.0,,,,,0,0,0,0,0,,,1,0,1,1,0,0,0,0,false,false,false,false
