event_id,research_stratum,empirical_shape,admission_tier,derived_archetype,changed_layer_signature,changed_layer_count,latency_regime,time_to_first_change_hours,trigger_is_action,has_recovery_signal,is_upper_layer_only,is_base_layer_observed
iceland-cbi-foreign-exchange-bitcoin-2014,S4_nation_state,null_event,null_case,null_event,none,0,none,,false,false,false,false
india-fiu-offshore-vda-block-2023,S4_nation_state,comparison,empirical_case,multi_layer,l4_frontend+offramp_cex,2,delayed,432.0,false,false,true,false
india-rbi-crypto-ban-2018,S4_nation_state,comparison,empirical_case,cex_only,offramp_cex,1,lagged,2184.0,false,true,true,false
indonesia-bappebti-illegal-exchange-block-2023,S4_nation_state,comparison,empirical_case,multi_layer,l4_frontend+offramp_cex,2,synchronous,0.0,false,false,true,false
indonesia-bi-bitcoin-warning-2014,S4_nation_state,null_event,null_case,null_event,none,0,none,,false,false,false,false
indonesia-bi-payment-instrument-prohibition-2018-01,S4_nation_state,comparison,empirical_case,cex_only,offramp_cex,1,synchronous,0.0,false,false,true,false
indonesia-kominfo-exchange-social-account-block-2024-07,S4_nation_state,comparison,empirical_case,frontend_only,l4_frontend,1,synchronous,0.0,false,false,true,false
infura-alchemy-tornado-rpc-block-2022,S5_corporate,comparison,anchor_case,multi_layer,l3_rpc+l4_frontend,2,synchronous,0.0,true,true,false,false
infura-metamask-donetsk-luhansk-block-2022-03,S5_corporate,comparison,empirical_case,multi_layer,l3_rpc+l4_frontend,2,synchronous,0.0,true,true,false,false
iran-cbi-crypto-banking-prohibition-2018,S4_nation_state,comparison,empirical_case,cex_only,offramp_cex,1,synchronous,0.0,false,false,true,false
iran-cbi-exchange-payment-gateway-block-2024-12,S4_nation_state,comparison,empirical_case,cex_only,offramp_cex,1,synchronous,0.0,false,false,true,false
iran-government-mining-electricity-restriction-2021,S4_nation_state,comparison,empirical_case,other_single_layer,l1_consensus,1,synchronous,0.0,false,true,false,true
iran-ransomware-ofac-2018,S1_ofac_sdn,null_event,null_case,null_event,none,0,none,,false,false,false,false
irgc-ransomware-ofac-2022,S1_ofac_sdn,null_event,null_case,null_event,none,0,none,,false,false,false,false
israel-nbctf-hamas-crypto-addresses-2021,S4_nation_state,comparison,empirical_case,cex_only,offramp_cex,1,synchronous,0.0,false,false,true,false
japan-fsa-binance-sakura-acquisition-2022-11,S4_nation_state,null_event,null_case,null_event,none,0,none,,false,false,false,false
japan-fsa-binance-warning-2018,S4_nation_state,comparison,empirical_case,cex_only,offramp_cex,1,synchronous,0.0,false,false,true,false
japan-fsa-coincheck-orders-2018,S4_nation_state,comparison,empirical_case,cex_only,offramp_cex,1,synchronous,0.0,false,false,true,false
japan-fsa-dmm-bitcoin-order-2024-09,S4_nation_state,comparison,empirical_case,cex_only,offramp_cex,1,synchronous,0.0,false,false,true,false
japan-fsa-ftx-japan-suspension-2022-11,S4_nation_state,comparison,empirical_case,cex_only,offramp_cex,1,synchronous,0.0,false,true,true,false
japan-fsa-six-exchange-orders-2018-06,S4_nation_state,comparison,empirical_case,cex_only,offramp_cex,1,synchronous,0.0,false,false,true,false
japan-fsa-stablecoin-psa-effective-2023-06,S4_nation_state,null_event,null_case,null_event,none,0,none,,false,false,false,false
japan-fsa-travel-rule-effective-2023-06,S6_supranational,null_event,null_case,null_event,none,0,none,,false,false,false,false
japan-fsa-zaif-orders-2018-09,S4_nation_state,comparison,empirical_case,cex_only,offramp_cex,1,synchronous,0.0,false,false,true,false
jordan-cbj-bank-crypto-prohibition-2014,S4_nation_state,comparison,empirical_case,cex_only,offramp_cex,1,synchronous,0.0,false,false,true,false
karpeles-arrest-tokyo-mtgox-2015,S3_doj_sec_cftc_fiod,null_event,null_case,null_event,none,0,none,,false,false,false,false
kazakhstan-digital-assets-law-2023-02,S4_nation_state,comparison,empirical_case,multi_layer,l1_consensus+offramp_cex,2,lagged,1320.0,false,false,false,true
kazakhstan-internet-shutdown-mining-2022-01,S4_nation_state,comparison,empirical_case,other_single_layer,l1_consensus,1,synchronous,0.0,false,true,false,true
kb-vostok-russia-drone-ofac-2024-08,S1_ofac_sdn,null_event,null_case,null_event,none,0,none,,false,false,false,false
kenya-cbk-virtual-currency-circular-2015-12,S4_nation_state,comparison,empirical_case,cex_only,offramp_cex,1,synchronous,0.0,false,false,true,false
kingdom-trust-fincen-2021,S3_doj_sec_cftc_fiod,null_event,null_case,null_event,none,0,none,,false,false,false,false
korea-fiu-isms-real-name-exchange-shutdown-2021-09,S4_nation_state,comparison,empirical_case,cex_only,offramp_cex,1,synchronous,0.0,false,false,true,false
korea-fsc-ico-ban-2017,S4_nation_state,comparison,empirical_case,cex_only,offramp_cex,1,synchronous,0.0,false,false,true,false
korea-fsc-institutional-restriction-2017,S4_nation_state,comparison,empirical_case,cex_only,offramp_cex,1,synchronous,0.0,false,false,true,false
korea-fsc-privacy-coin-delisting-mandate-2021-03,S4_nation_state,comparison,empirical_case,cex_only,offramp_cex,1,synchronous,0.0,false,false,true,false
korea-travel-rule-2022,S4_nation_state,comparison,empirical_case,cex_only,offramp_cex,1,synchronous,0.0,false,false,true,false
kraken-monero-eu-delisting-2024,S5_corporate,comparison,empirical_case,cex_only,offramp_cex,1,synchronous,0.0,true,false,true,false
kraken-sec-staking-2023,S3_doj_sec_cftc_fiod,comparison,empirical_case,cex_only,offramp_cex,1,synchronous,0.0,false,false,true,false
kraken-sec-unregistered-exchange-2023,S3_doj_sec_cftc_fiod,comparison,empirical_case,cex_only,offramp_cex,1,synchronous,0.0,false,true,true,false
kraken-uk-derivatives-exit-2021,S5_corporate,comparison,empirical_case,cex_only,offramp_cex,1,synchronous,0.0,true,false,true,false
kucoin-canada-exit-2023,S5_corporate,comparison,empirical_case,cex_only,offramp_cex,1,delayed,408.0,false,false,true,false
kucoin-doj-2024,S3_doj_sec_cftc_fiod,comparison,empirical_case,multi_layer,l4_frontend+offramp_cex,2,synchronous,0.0,false,false,true,false
kucoin-netherlands-exit-2023,S5_corporate,null_event,null_case,null_event,none,0,none,,false,false,false,false
lazarus-entity-ofac-2019,S1_ofac_sdn,null_event,null_case,null_event,none,0,none,,false,false,false,false
